,smiles_string,prop,value
28,[*]C#Cc1cc(CCCCCC)c([*])s1,eib,1.319999036
29,[*]C#Cc1cc(CCCCCC)c(C#Cc2sc([*])c([N+](=O)[O-])c2[N+](=O)[O-])s1,Egc,1.7301
30,[*]C#Cc1cc(CCCCCC)c(C#Cc2sc([*])c([N+](=O)[O-])c2[N+](=O)[O-])s1,eib,0.504098178
31,[*]C#Cc1cc(OCC(CC)CCCC)c(C#Cc2cc(OCCNCCCC)c([*])cc2OCCNCCCC)cc1OCC(CC)CCCC,Egc,3.0922
32,[*]C#Cc1cc(OCCCCCC)c(C#Cc2ccc3c(-c4c(O)ccc5cc([*])ccc45)c(O)ccc3c2)cc1OCCCCCC,Egc,3.1184
33,[*]C#Cc1cc(OCCCCCCCC)c(C#Cc2ccc([*])s2)cc1OCCCCCCCC,Egc,2.3184
34,[*]C#Cc1cc(OCCCCCCCCCC)c([*])cc1OCCCCCCCCCC,Egc,1.7935
35,[*]C#Cc1cc(OCCCCCCCCCCCC)c([*])cc1OCCCCCCCCCCCC,Egc,1.7402
36,[*]C#Cc1cc(OCCCCCCCCCCCC)c(C#Cc2ccc([*])c([N+](=O)[O-])c2)cc1OCCCCCCCCCCCC,Egc,2.0462
37,[*]C#Cc1cc(OCCOCCOC)c(C#Cc2ccc([*])c([N+](=O)[O-])c2)cc1OCCOCCOC,Egc,2.1853
38,[*]C#Cc1ccc([*])c(SCCCCCCCCCCCC)c1,Egc,3.7748
39,[*]C#Cc1ccc([*])s1,Egc,1.6401
40,[*]C#Cc1ccc([*])s1,eib,1.147835104
41,[*]C#Cc1ccc(C#Cc2sc([*])c([N+](=O)[O-])c2[N+](=O)[O-])cc1,Egc,1.9456
42,[*]C#Cc1sc(C#Cc2ccc([*])nc2)c([N+](=O)[O-])c1[N+](=O)[O-],Egc,2.3098
43,[*]C#Cc1sc(-c2sc([*])c3c2OCCO3)c2c1OCCO2,Egc,1.714
44,[*]C#Cc1sc(-c2sc([*])c3c2OCCO3)c2c1OCCO2,eib,2.046647288
45,[*]C([*])(C#N)C#N,Egc,4.2738
46,[*]C([*])(C#N)C#N,eib,-0.172700794
47,[*]C([*])(F)F,Egc,7.183
48,[*]C([*])(F)F,eib,2.63798614
49,[*]C([*])F,Egc,6.641
50,[*]C([*])F,eib,2.90845836
51,[*]C([*])O,Egc,6.5244
52,[*]C([*])O,eib,3.776381919
53,[*]C([2H])([2H])C([*])([2H])C([2H])([2H])[2H],Egc,6.4539
54,[*]C([2H])([2H])C([*])([2H])C([2H])=C([2H])[2H],Egc,2.522
55,[*]C([2H])([2H])C([*])([2H])Cl,Egc,6.2385
56,[*]C([2H])([2H])C([*])([2H])Cl,eib,3.91621029
57,[*]C([2H])([2H])C([*])(C(=O)OC([2H])([2H])C([2H])([2H])[2H])C([2H])([2H])[2H],Egc,6.3139
58,[*]C([2H])([2H])C([*])(F)F,Egc,7.2226
59,[*]C([2H])([2H])C([*])(F)F,eib,3.792670378
60,[*]C(=C([2H])C([2H])([2H])C([*])([2H])[2H])C([2H])([2H])[2H],Egc,5.1988
61,[*]C(=NCCCCCC)N([*])CCCCCC,Egc,4.2986
62,[*]C(=O)C(=O)c1ccc(C=C2CCC(=Cc3ccc([*])cc3)C2=O)cc1,Egc,2.8497
63,[*]C(=O)C(=O)c1ccc(C=C2CCC(=Cc3ccc([*])cc3)C2=O)cc1,eib,1.06077242
64,[*]C(=O)C(C)=C(C)C(=O)N1CC(C)N([*])CC1C,Egc,5.3573
65,[*]C(=O)C(C)NC(=O)CNC(=O)C1CCCN1[*],Egc,5.735
66,[*]C(=O)C(C=C1)=CC=C1C(=O)C(=S)[*],Egc,2.9772
67,[*]C(=O)C(C=C1)=CC=C1C(=O)C(=S)[*],eib,0.867507619
68,[*]C(=O)C(C=C1)=CC=C1C(=O)C(C=C2)=CC=C2[*],Egc,4.427
69,[*]C(=O)C(C=C1)=CC=C1C(=O)C(C=C2)=CC=C2[*],eib,2.7830372
70,[*]C(=O)C(C=C1)=CC=C1C(=O)C(S2)=CC=C2[*],Egc,3.616
71,[*]C(=O)C(C=C1)=CC=C1C(=O)C(S2)=CC=C2[*],eib,1.04871506
72,[*]C(=O)C(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2[*],Egc,2.9329
73,[*]C(=O)C(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2[*],eib,1.576786564
74,[*]C(=O)C(C=C1)=CC=C1C(=S)C(S2)=CC=C2[*],Egc,2.3694
75,[*]C(=O)C(C=C1)=CC=C1C(=S)C(S2)=CC=C2[*],eib,0.620433394
76,[*]C(=O)C(C=C1)=CC=C1C(=S)O[*],Egc,3.2523
77,[*]C(=O)C(C=C1)=CC=C1C(=S)O[*],eib,1.171074687
78,[*]C(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2C(=S)[*],Egc,2.4786
79,[*]C(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2C(=S)[*],eib,0.598934434
80,[*]C(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3[*],Egc,3.3512
81,[*]C(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3[*],eib,1.967327464
82,[*]C(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3[*],Egc,2.843
83,[*]C(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3[*],eib,1.640400245
84,[*]C(=O)C(C=C1)=CC=C1C(S2)=CC=C2C(=S)[*],Egc,2.3581
85,[*]C(=O)C(C=C1)=CC=C1C(S2)=CC=C2C(=S)[*],eib,1.070796522
86,[*]C(=O)C(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3[*],Egc,2.9732
87,[*]C(=O)C(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3[*],eib,1.567210643
88,[*]C(=O)C(C=C1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],Egc,2.7667
89,[*]C(=O)C(C=C1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],eib,1.84788226
90,[*]C(=O)C(C=C1)=CC=C1C(S2)=CC=C2O[*],Egc,3.7083
91,[*]C(=O)C(C=C1)=CC=C1C(S2)=CC=C2O[*],eib,2.255312673
92,[*]C(=O)C(C=C1)=CC=C1OC(=S)[*],Egc,3.5207
93,[*]C(=O)C(C=C1)=CC=C1OC(=S)[*],eib,1.370981448
94,[*]C(=O)C(C=C1)=CC=C1OC(S2)=CC=C2[*],Egc,3.7007
95,[*]C(=O)C(C=C1)=CC=C1OC(S2)=CC=C2[*],eib,2.137313142
96,[*]C(=O)C(NC(=O)C1CCCN1C(=O)C1CCCN1[*])c1ccccc1,Egc,4.893
97,[*]C(=O)C(O)c1ccc([*])s1,Egc,3.56
98,[*]C(=O)C(O)c1ccc([*])s1,eib,2.083751595
99,[*]C(=O)C(S1)=CC=C1C(=O)C(=S)[*],Egc,2.2532
100,[*]C(=O)C(S1)=CC=C1C(=O)C(=S)[*],eib,0.064985154
101,[*]C(=O)C(S1)=CC=C1C(=O)C(S2)=CC=C2[*],Egc,2.951
102,[*]C(=O)C(S1)=CC=C1C(=O)C(S2)=CC=C2[*],eib,0.702534591
103,[*]C(=O)C(S1)=CC=C1C(=O)O[*],Egc,3.9696
104,[*]C(=O)C(S1)=CC=C1C(=O)O[*],eib,1.308247335
105,[*]C(=O)C(S1)=CC=C1C(=S)C(S2)=CC=C2[*],Egc,2.182
106,[*]C(=O)C(S1)=CC=C1C(=S)C(S2)=CC=C2[*],eib,0.636131094
107,[*]C(=O)C(S1)=CC=C1C(=S)O[*],Egc,2.7919
108,[*]C(=O)C(S1)=CC=C1C(=S)O[*],eib,0.714820685
109,[*]C(=O)C(S1)=CC=C1C(C=C2)=CC=C2C(=S)[*],Egc,2.3582
110,[*]C(=O)C(S1)=CC=C1C(C=C2)=CC=C2C(=S)[*],eib,0.775560376
111,[*]C(=O)C(S1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3[*],Egc,2.499
112,[*]C(=O)C(S1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3[*],eib,1.365829411
113,[*]C(=O)C(S1)=CC=C1C(C=C2)=CC=C2O[*],Egc,2.8561
114,[*]C(=O)C(S1)=CC=C1C(C=C2)=CC=C2O[*],eib,1.703922719
115,[*]C(=O)C(S1)=CC=C1C(S2)=CC=C2C(=S)[*],Egc,2.0567
116,[*]C(=O)C(S1)=CC=C1C(S2)=CC=C2C(=S)[*],eib,-0.003150579
117,[*]C(=O)C(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],Egc,1.9059
118,[*]C(=O)C(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],eib,1.144948337
119,[*]C(=O)C(S1)=CC=C1C(S2)=CC=C2O[*],Egc,2.6424
120,[*]C(=O)C(S1)=CC=C1C(S2)=CC=C2O[*],eib,1.355611387
121,[*]C(=O)C(S1)=CC=C1OC(=S)[*],Egc,3.6056
122,[*]C(=O)C(S1)=CC=C1OC(=S)[*],eib,1.204514029
123,[*]C(=O)C(S1)=CC=C1OC(S2)=CC=C2[*],Egc,3.5651
124,[*]C(=O)C(S1)=CC=C1OC(S2)=CC=C2[*],eib,1.763627132
125,[*]C(=O)C=C(C)C(=O)N1CCN([*])CC1,Egc,4.7733
126,[*]C(=O)C=CC(=O)N1CC(C)N([*])CC1C,Egc,4.2051
127,[*]C(=O)C=CC(=O)N1CC(C)N([*])CC1C,eib,1.945533321
128,[*]C(=O)C1C(C)C1C(=O)N1CCN([*])CC1,Egc,5.5018
129,[*]C(=O)C1CC(O)CN1[*],Egc,5.318
130,[*]C(=O)C1CC(OC(=O)CCC)CN1[*],Egc,4.5924
131,[*]C(=O)C1CC(OC(C)=O)CN1[*],Egc,4.2937
132,[*]C(=O)C1CC1C(=O)N1CCN([*])CC1,Egc,5.6073
133,[*]C(=O)c1ccc(C(=O)N(C)c2ccc(Cl)c(N([*])C)c2)cc1,Egc,3.0209
134,[*]C(=O)c1ccc(C(=O)N(C)c2ccc(Cl)c(N([*])C)c2)cc1,eib,1.842086089
135,[*]C(=O)c1ccc(C(=O)N(C)N([*])C)cc1,Egc,4.1739
136,[*]C(=O)c1ccc(C(=O)N2CC(C)N([*])CC2C)cc1,Egc,4.5321
137,[*]C(=O)c1ccc(C(=O)N2CCN([*])CC2)cc1,Egc,4.6749
138,[*]C(=O)c1ccc(C(=O)N2CCN([*])CC2)cc1,Egcr,4.7036
139,[*]C(=O)c1ccc(N([*])C)cc1,Egc,4.6391
140,[*]C(=O)c1ccc(N([*])C)cc1,eib,2.860126697
141,[*]C(=O)c1ccc(N([*])CCCCCCCC)cc1,Egc,3.6683
142,[*]C(=O)c1ccc(N=Nc2ccc(C(=O)N3C(=O)N([*])C(CC)(CC)C3=O)cc2)cc1,Egc,3.2554
143,[*]C(=O)c1ccc(N=Nc2ccc(C(=O)N3C(=O)N([*])C(CC)(CC)C3=O)cc2)cc1,eib,0.812593826
144,[*]C(=O)c1ccc(Oc2ccc(C(C)(C)c3ccc(Oc4ccc([*])s4)cc3)cc2)cc1,Egc,3.7073
145,[*]C(=O)c1ccc(Oc2ccc(C(C)(C)c3ccc(Oc4ccc([*])s4)cc3)cc2)cc1,eib,2.204506441
146,[*]C(=O)c1ccc(Oc2ccc(C3(c4ccc(Oc5ccc([*])s5)cc4)c4ccccc4-c4ccccc43)cc2)cc1,Egc,3.549
147,[*]C(=O)c1ccc(Oc2ccc(N3C(=O)c4ccc([*])cc4C3=O)cc2)cc1,Egc,2.925
148,[*]C(=O)c1ccc(Oc2ccc(N3C(=O)c4ccc([*])cc4C3=O)cc2)cc1,eib,1.192229129
149,[*]C(=O)c1ccc2c(c1)C(=Nc1ccc(Oc3cccc(N=C4OC(=O)c5ccc([*])cc54)c3)cc1)OC2=O,Egc,2.5605
150,[*]C(=O)c1ccc2c(c1)C(=O)N(c1cc(C(=O)O)cc(N3C(=O)c4ccc([*])cc4C3=O)c1)C2=O,Egc,3.6938
151,[*]C(=O)c1ccc2c(c1)C(=O)N(c1cc(C(=O)OC)cc(N3C(=O)c4ccc([*])cc4C3=O)c1)C2=O,Egc,3.6664
152,[*]C(=O)c1ccc2c(c1)C(=O)N(c1cc(C(=O)OC)cc(N3C(=O)c4ccc([*])cc4C3=O)c1)C2=O,eib,0.988651501
153,[*]C(=O)c1ccc2c(c1)C(=O)N(c1cc(-c3nc4ccccc4[nH]3)cc(N3C(=O)c4ccc([*])cc4C3=O)c1)C2=O,Egc,2.3475
154,[*]C(=O)c1ccc2c(c1)C(=O)N(c1cc(-c3nc4ccccc4[nH]3)cc(N3C(=O)c4ccc([*])cc4C3=O)c1)C2=O,eib,1.139735105
155,[*]C(=O)c1ccc2c(c1)C(=O)N(c1cc(-c3nc4ccccc4o3)cc(N3C(=O)c4ccc([*])cc4C3=O)c1)C2=O,Egc,2.6843
156,[*]C(=O)c1ccc2c(c1)C(=O)N(c1cc(-c3nc4ccccc4oc3=O)cc(N3C(=O)c4ccc([*])cc4C3=O)c1)C2=O,Egc,2.9075
157,[*]C(=O)c1ccc2c(c1)C(=O)N(c1cc(-c3nc4ccccc4s3)cc(N3C(=O)c4ccc([*])cc4C3=O)c1)C2=O,Egc,2.5568
158,[*]C(=O)c1ccc2c(c1)C(=O)N(c1cc(N3C(=O)c4ccc([*])cc4C3=O)c(O)cc1O)C2=O,Egc,2.8322
159,[*]C(=O)c1ccc2c(c1)C(=O)N(c1cc(OCCCC)cc(N3C(=O)c4ccc([*])cc4C3=O)c1)C2=O,Egc,2.6047
160,[*]C(=O)c1ccc2c(c1)C(=O)N(c1cc(OCCCCCCCC)cc(N3C(=O)c4ccc([*])cc4C3=O)c1)C2=O,Egc,2.8168
161,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(=O)c3cccc(C(=O)c4ccc(N5C(=O)c6ccc([*])cc6C5=O)cc4)c3)cc1)C2=O,Egc,2.8442
162,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(=O)N(C)c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)cc1)C2=O,Egc,2.4262
163,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(=O)Nc3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)cc1)C2=O,Egc,2.5101
164,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(C)(C)c3ccc(C(C)(C)c4ccc(N5C(=O)c6ccc([*])cc6C5=O)cc4)cc3)cc1)C2=O,Egc,2.4803
165,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)(C(F)(F)F)C(F)(F)F)cc1)C2=O,Egc,2.9566
166,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(c3ccccc3)(c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)C(F)(F)F)cc1)C2=O,Egc,3.0137
167,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(c3ccccc3)c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)cc1)C2=O,Egc,2.683
168,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C=Cc3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)cc1)C2=O,Egc,2.0708
169,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C=Cc3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)cc1)C2=O,eib,0.764095847
170,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C3(c4ccc(N5C(=O)c6ccc([*])cc6C5=O)cc4)c4ccccc4-c4ccccc43)cc1)C2=O,Egc,2.372
171,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(-c3ccc(-c4ccc(N5C(=O)c6ccc([*])cc6C5=O)cc4)cc3)cc1)C2=O,Egc,2.3433
172,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(-c3ccc(-c4ccc(N5C(=O)c6ccc([*])cc6C5=O)cc4)cc3)cc1)C2=O,eib,0.787457196
173,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(-c3ccc(N4C(=O)c5ccc([*])cc5C4=O)c(OC)c3)cc1OC)C2=O,Egc,2.5507
174,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(-c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)cc1)C2=O,Egc,2.5342
175,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(-c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3C)c(C)c1)C2=O,Egc,2.8171
176,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(-c3nc(-c4ccccc4)nc(-c4ccc(N5C(=O)c6ccc([*])cc6C5=O)cc4)n3)cc1)C2=O,Egc,2.85
177,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Cc3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)cc1)C2=O,Egc,2.7913
178,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(N(c3ccc(C#N)cc3)c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)cc1)C2=O,Egc,1.8892
179,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(N3C(=O)c4ccc([*])cc4C3=O)cc1)C2=O,Egc,2.9305
180,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(N3C(=O)c4ccc([*])cc4C3=O)nc1)C2=O,Egc,3.0618
181,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(N3C(=O)c4ccc([*])cc4C3=O)nc1)C2=O,eib,0.807672874
182,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3cc(C(C)(C)C)c(Oc4ccc(N5C(=O)c6ccc([*])cc6C5=O)cc4)cc3C(C)(C)C)cc1)C2=O,Egc,2.3313
183,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3cc4ccccc4cc3Oc3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)cc1)C2=O,Egc,2.4977
184,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(-c4ccc(Oc5ccc(N6C(=O)c7ccc([*])cc7C6=O)cc5)cc4)cc3)cc1)C2=O,Egc,2.13
185,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)cc1)C2=O,Egc,2.6811
186,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3Br)c(Br)c1)C2=O,Egc,2.6559
187,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(S(=O)(=O)c4ccc(Oc5ccc(N6C(=O)c7ccc([*])cc7C6=O)cc5)cc4)cc3)cc1)C2=O,Egc,2.5975
188,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3cccc(N4C(=O)c5ccc([*])cc5C4=O)c3)cc1)C2=O,Egc,2.4674
189,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3cccc(Oc4ccc(N5C(=O)c6ccc([*])cc6C5=O)cc4)c3)cc1)C2=O,Egc,2.5843
190,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccccc3Oc3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)cc1)C2=O,Egc,2.575
191,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(OCC(C)(C)COc3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)cc1)C2=O,Egc,2.6417
192,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(OCCOc3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)cc1)C2=O,Egc,2.4765
193,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(OCCOCCOc3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)cc1)C2=O,Egc,2.5244
194,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(OCCOCCOCCOc3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)cc1)C2=O,Egc,2.5899
195,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Sc3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)cc1)C2=O,Egc,2.5762
196,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Sc3ccc(N4C(=O)c5ccc([*])cc5C4=O)cn3)nc1)C2=O,Egc,2.1786
197,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Sc3ccc(N4C(=O)c5ccc([*])cc5C4=O)cn3)nc1)C2=O,eib,1.34065933
198,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc3c(c1)C(=O)c1cc(N4C(=O)c5ccc([*])cc5C4=O)ccc1-3)C2=O,Egc,2.5712
199,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc3c(c1)Cc1cc(N4C(=O)c5ccc([*])cc5C4=O)ccc1-3)C2=O,Egc,2.344
200,[*]C(=O)c1ccc2c(c1)C(=O)N(c1cccc(C#Cc3cccc(N4C(=O)c5ccc([*])cc5C4=O)c3)c1)C2=O,Egc,2.5356
201,[*]C(=O)c1ccc2c(c1)C(=O)N(c1cccc(C(=O)c3cccc(N4C(=O)c5ccc([*])cc5C4=O)c3)c1)C2=O,Egc,3.3505
202,[*]C(=O)c1ccc2c(c1)C(=O)N(c1cccc(C(=O)N(C)c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)c1)C2=O,Egc,2.3323
203,[*]C(=O)c1ccc2c(c1)C(=O)N(c1cccc(C(=O)Nc3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)c1)C2=O,Egc,2.5378
204,[*]C(=O)c1ccc2c(c1)C(=O)N(c1cccc(C(c3ccccc3)(c3cccc(N4C(=O)c5ccc([*])cc5C4=O)c3)C(F)(F)F)c1)C2=O,Egc,2.9754
205,[*]C(=O)c1ccc2c(c1)C(=O)N(c1cccc(-c3nc(-c4ccccc4)nc(-c4cccc(N5C(=O)c6ccc([*])cc6C5=O)c4)n3)c1)C2=O,Egc,2.9596
206,[*]C(=O)c1ccc2c(c1)C(=O)N(c1cccc(Cc3ccc(C(=O)c4ccc(N5C(=O)c6ccc([*])cc6C5=O)cc4)cc3)c1)C2=O,Egc,2.9024
207,[*]C(=O)c1ccc2c(c1)C(=O)N(c1cccc(N3C(=O)c4ccc([*])cc4C3=O)c1C)C2=O,Egc,3.3805
208,[*]C(=O)c1ccc2c(c1)C(=O)N(c1cccc(N3C(=O)c4ccc([*])cc4C3=O)c1C)C2=O,eib,0.827586071
209,[*]C(=O)c1ccc2c(c1)C(=O)N(c1cccc(Nc3nc(N)nc(Nc4cccc(N5C(=O)c6ccc([*])cc6C5=O)c4)n3)c1)C2=O,Egc,2.5377
210,[*]C(=O)c1ccc2c(c1)C(=O)N(c1cccc(Nc3nc(Nc4cccc(N5C(=O)c6ccc([*])cc6C5=O)c4)nc(-c4ccccc4)n3)c1)C2=O,Egc,2.5755
211,[*]C(=O)c1ccc2c(c1)C(=O)N(c1cccc(Nc3nc(Nc4cccc(N5C(=O)c6ccc([*])cc6C5=O)c4)nc(N(C)C)n3)c1)C2=O,Egc,2.4856
212,[*]C(=O)c1ccc2c(c1)C(=O)N(c1cccc(Nc3ncnc(Nc4cccc(N5C(=O)c6ccc([*])cc6C5=O)c4)n3)c1)C2=O,Egc,2.5005
213,[*]C(=O)c1ccc2c(c1)C(=O)n1c-2nc2ccc(-c3ccc4c(c3)nc3n4C(=O)c4ccc([*])cc4-3)cc21,Egc,2.4671
214,[*]C(=O)c1ccc2c(c1)C(=O)n1c-2nc2ccc(-c3ccc4c(c3)nc3n4C(=O)c4ccc([*])cc4-3)cc21,eib,0.770544162
215,[*]C(=O)c1ccc2c(c1O)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccc([*])c(O)c5C4=O)cc3)cc1)C2=O,Egc,2.4908
216,[*]C(=O)c1ccc2nc(-c3ccc(-c4cnc5cc([*])ccc5n4)cc3)cnc2c1,Egc,3.0794
217,[*]C(=O)c1ccc2nc(-c3ccc(-c4cnc5cc([*])ccc5n4)cc3)cnc2c1,eib,1.106316924
218,[*]C(=O)c1ccc2nc(-c3ccc(-c4nc5ccc([*])cc5nc4-c4ccccc4)cc3)c(-c3ccccc3)nc2c1,Egc,3.0546
219,[*]C(=O)c1ccc2nc(-c3ccccc3)c(-c3ccc(-c4nc5cc([*])ccc5nc4-c4ccccc4)cc3)nc2c1,Egc,3.2971
220,[*]C(=O)c1ccc2nc(-c3ccccc3)c(-c3ccc(-c4nc5ccc([*])cc5nc4-c4ccccc4)cc3)nc2c1,Egc,3.1987
221,[*]C(=O)c1cccc(C(=O)c2ccc3c(c2)C(=Nc2cccc(N=C4OC(=O)c5cc([*])ccc54)c2)OC3=O)c1,Egc,2.8729
222,[*]C(=O)c1cccc(C(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(N5C(=O)c6ccc([*])cc6C5=O)cc4)cc2)C3=O)c1,Egc,2.6364
223,[*]C(=O)c1cccc(C(=O)N(C)c2cccc(N([*])C)c2)c1,Egc,4.5971
224,[*]C(=O)c1cccc(C(=O)N(C)c2cccc(N([*])C)c2)c1,eib,3.054840968
